Año,Periodo,Fecha,Evolucion de la contratacion Indefinido,Evolucion de la contratacion Temporal,Total de población inactiva,Ocupados a tiempo completo,Ocupados a tiempo parcial,Personas en paro,Evolución a tiempo completo,Evolución a tiempo parcial,Número de activos,Robos con fuerza en domicilios,Homicidios registrados por los cuerpos de seguridad,Infracciones por tráfico de drogas,Robos con violencia e intimidación
2018,Trimestre 4,2018-09-01,12034.1,4419.5,16150.6,16669.8,2894.8,3304.1,16669.8,2894.8,22868.8,72783,147.5,7451.5,29528.5
2019,Trimestre 1,2019-01-01,12124,4233.7,16289.4,16570.4,2900.7,3354.3,16570.4,2900.7,22825.4,71387,147.25,7724.75,30277.25
2019,Trimestre 2,2019-04-01,12288.5,4399.8,16177.6,16853.4,2951.5,3230.7,16853.4,2951.5,23035.5,69991,147,7998,31026
2019,Trimestre 3,2019-07-01,12313.6,4476.4,16233.3,17085.1,2789.2,3214.5,17085.1,2789.2,23088.7,64966.5,146.5,8006,28424.75
2019,Trimestre 4,2019-09-01,12448.3,4397.9,16268.4,17022.1,2944.8,3191.8,17022.1,2944.8,23158.8,59942,146,8014,25823.5
2020,Trimestre 1,2020-01-01,12417.5,4142.6,16525.9,16833,2848.3,3312.9,16833,2848.3,22994.2,54917.5,145.5,8022,23222.25
2020,Trimestre 2,2020-04-01,12056.2,3470.7,17588.7,16121.1,2486.1,3368,16121.1,2486.1,21975.2,49893,145,8030,20621
2020,Trimestre 3,2020-07-01,12214.5,3893.6,16696,16522.1,2654.7,3722.9,16522.1,2654.7,22899.8,49181,143.75,8285.25,21217
2020,Trimestre 4,2020-09-01,12240.8,4000.7,16571.4,16545.2,2799.1,3719.8,16545.2,2799.1,23064.1,48469,142.5,8540.5,21813
2021,Trimestre 1,2021-01-01,12272.1,3832.1,,16510.6,2696.1,3653.9,16510.6,2696.1,22860.7,47757,141.25,8795.75,22409
2021,Trimestre 2,2021-04-01,12370.2,4137.2,,16836.3,2835.4,3543.9,16836.3,2835.4,23215.5,47045,140,9051,23005
